
DR Martyn,208,182,51,5346,144,40.8,6877,10,37,5,77.73
G Gambhir,147,143,11,5238,150,39.68,6144,11,34,11,85.25
ADR Campbell,188,184,14,5185,131,30.5,7834,11,30,7,66.18
RS Mahanama,213,198,23,5162,119,29.49,8521,15,35,4,60.57
CG Greenidge,128,127,13,5134,133,45.03,7908,3,31,11,64.92
Misbah-ul-Haq,162,149,31,5122,96,43.4,6945,6,42,0,73.75
JP Duminy,199,179,40,5117,150,36.81,6052,7,27,4,84.55
PD Collingwood,197,181,37,5092,120,35.36,6614,7,26,5,76.98
A Symonds,198,161,33,5088,156,39.75,5504,15,30,6,92.44
Abdul Razzaq,265,228,57,5080,112,29.7,6252,14,23,3,81.25
DA Warner,116,114,5,4990,179,45.77,5222,2,20,17,95.55
CL Cairns,215,193,25,4950,115,29.46,5874,9,26,4,84.26
Q de Kock,115,115,6,4907,178,45.01,5154,3,24,14,95.2
Aamer Sohail,156,155,5,4780,134,31.86,7297,10,31,5,65.5
CD McMillan,197,183,16,4707,117,28.18,6198,9,28,3,75.94
MD Crowe,143,140,18,4704,107,38.55,6476,3,34,4,72.63
MV Boucher,295,221,57,4686,147,28.57,5528,16,26,1,84.76
AJ Stewart,170,162,14,4677,116,31.6,6841,13,28,4,68.36
AJ Finch,119,115,2,4559,153,40.34,5093,11,24,15,89.51
SB Styris,188,161,23,4483,141,32.48,5645,9,28,4,79.41
KP Pietersen,136,125,16,4440,130,40.73,5128,7,25,9,86.58
NS Sidhu,136,127,8,4413,134,37.08,6329,7,33,6,69.72
CZ Harris,250,213,62,4379,130,29,6583,12,16,1,66.51
GR Marsh,117,115,6,4357,126,39.97,7790,4,22,9,55.93
E Chigumbura,213,198,26,4340,117,25.23,5423,17,19,2,80.02
ME Trescothick,123,122,6,4335,137,37.37,5087,13,21,12,85.21
GA Gooch,125,122,6,4290,142,36.98,6932,4,23,8,61.88
AJ Strauss,127,126,8,4205,158,35.63,5195,9,27,6,80.94
K Srikkanth,146,145,4,4091,123,29.01,5702,11,27,4,71.74
PR Stirling,114,111,2,4038,177,37.04,4627,10,23,8,87.27
WTS Porterfield,136,133,3,4037,139,31.05,5818,9,17,11,69.38
AJ Lamb,122,118,16,4010,118,39.31,5308,8,26,4,75.54
Mahmudullah,185,160,42,3994,128,33.84,5222,8,21,3,76.48
RP Arnold,180,155,43,3950,103,35.26,5443,7,28,1,72.57
AP Gurusinha,147,143,5,3902,117,28.27,6409,12,22,2,60.88
JG Wright,149,148,1,3891,101,26.46,6804,9,24,1,57.18
DJ Cullinan,138,133,16,3860,124,32.99,5492,10,23,3,70.28
GA Hick,120,118,15,3846,126,37.33,5191,10,27,5,74.08
JC Buttler,142,117,23,3843,150,40.88,3207,12,20,9,119.83
SPD Smith,118,104,12,3810,164,41.41,4414,5,23,8,86.31
HP Tillakaratne,200,168,40,3789,104,29.6,6588,10,13,2,57.51
N Kapil Dev,225,198,39,3783,175,23.79,3979,13,14,1,95.07
Wasim Akram,356,280,55,3717,86,16.52,4208,28,6,0,88.33
SC Williams,131,127,18,3717,129,34.1,4546,7,31,3,81.76
RS Kaluwitharana,189,181,14,3711,102,22.22,4776,24,23,2,77.7
Imran Khan,175,151,40,3709,102,33.41,5105,6,19,1,72.65
PV Simmons,143,138,11,3675,122,28.93,5407,14,18,5,67.96
NV Knight,100,100,10,3637,125,40.41,5085,6,25,5,71.52
LD Chandimal,146,132,21,3599,111,32.42,4855,11,22,4,74.12
L Klusener,171,137,50,3576,103,41.1,3977,13,19,2,89.91
SM Pollock,303,205,72,3519,130,26.45,4059,20,14,1,86.69
MA Taylor,113,110,1,3514,105,32.23,5909,4,28,1,59.46
DB Vengsarkar,129,120,19,3508,105,34.73,5179,7,23,1,67.73
KJ O'Brien,142,130,17,3490,142,30.88,3922,5,18,2,88.98
Mohammad Ashraful,177,169,13,3468,109,22.23,4947,14,20,3,70.1
